rank_page,word,count_sum,count_mean,rank_page_count,article_count,current_page_count,node_size,first_appear
10,幫助,8,8.0,5,7,1,14.0,1
10,微生物,13,6.5,7,9,2,12.857142857142858,1
10,抑制,15,15.0,1,1,1,10.0,10
10,抗生素,5,5.0,5,5,1,10.0,1
10,挑選,6,6.0,5,6,1,12.0,1
10,攝取,4,4.0,5,5,1,10.0,2
10,改善,13,13.0,2,2,1,10.0,7
10,救濟,5,5.0,1,1,1,10.0,10
10,桿菌,11,5.5,1,2,2,20.0,10
10,次世代定序平台,4,4.0,1,1,1,10.0,10
10,比菲德氏菌,4,4.0,4,4,1,10.0,1
10,民眾,4,4.0,2,2,1,10.0,1
10,活性,7,7.0,1,1,1,10.0,10
10,活菌,6,6.0,4,4,1,10.0,3
10,減少,7,7.0,3,3,1,10.0,1
10,濟州島,7,7.0,1,1,1,10.0,10
10,焦慮,4,4.0,2,2,1,10.0,7
10,物質,6,6.0,1,1,1,10.0,10
10,生長,10,10.0,2,2,1,10.0,4
10,產品,18,9.0,8,12,2,15.0,1
10,產生,16,8.0,2,3,2,15.0,2
10,病原菌,9,4.5,1,2,2,20.0,10
10,發現,10,10.0,3,3,1,10.0,2
10,發酵,8,8.0,4,5,1,12.5,1
10,益生質,10,5.0,7,10,2,14.285714285714286,1
10,益菌,5,5.0,4,5,1,12.5,1
10,科學,4,4.0,2,2,1,10.0,2
10,篩選,4,4.0,1,1,1,10.0,10
10,精準,7,7.0,2,2,1,10.0,3
10,細胞,7,7.0,3,3,1,10.0,3
10,細菌,6,6.0,6,10,1,16.666666666666668,1
10,維持,9,9.0,4,4,1,10.0,2
10,胃酸,10,5.0,6,8,2,13.333333333333332,1
10,腸道,121,20.166666666666668,10,33,6,33.0,1
10,腹瀉,6,6.0,7,8,1,11.428571428571427,1
10,膽固醇,5,5.0,2,2,1,10.0,7
10,膽汁,5,5.0,1,1,1,10.0,10
10,芽孢,6,6.0,2,2,1,10.0,3
10,菌叢,20,6.666666666666667,3,6,3,20.0,1
10,菌株,15,7.5,9,20,2,22.22222222222222,1
10,菌種,31,7.75,9,26,4,28.88888888888889,1
10,藥品,8,8.0,2,2,1,10.0,1
10,藥害,5,5.0,1,1,1,10.0,10
10,補充,5,5.0,6,9,1,15.0,1
10,調節,12,6.0,5,6,2,12.0,2
10,貓咪,5,5.0,1,1,1,10.0,10
10,身體,9,9.0,2,2,1,10.0,2
10,迷思,5,5.0,2,2,1,10.0,1
10,透過,6,6.0,1,1,1,10.0,10
10,過敏,4,4.0,4,4,1,10.0,1
10,適合,14,14.0,4,4,1,10.0,2
10,酵素,6,6.0,4,4,1,10.0,3
10,鍾根堂,9,9.0,1,1,1,10.0,10
10,降低,8,8.0,2,2,1,10.0,7
10,韓國,9,9.0,1,1,1,10.0,10
10,預防,15,7.5,3,4,2,13.333333333333332,2
10,體內,6,6.0,4,4,1,10.0,1
