rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
2,pH,5,5.0,0.03599017432070066,4,3,3,1,2
2,product,7,7.0,0.0326822265966205,4,3,3,1,1
2,products,4,4.0,0.020284859230318808,4,2,2,1,1
2,中文,4,4.0,0.008728082129796807,4,2,2,1,1
2,乳酸菌,7,7.0,0.02151702442148177,4,10,24,1,1
2,亞硝胺,4,4.0,0.04468007258712806,4,1,1,1,2
2,人體,4,4.0,0.020057817186624083,4,8,16,1,1
2,使用,5,5.0,0.0048940030502871434,4,8,17,1,1
2,依賴,5,5.0,0.034027642598615584,4,2,2,1,2
2,保存,4,4.0,0.014089798653018326,4,4,5,1,2
2,健康,14,4.666666666666667,0.004126620678682525,4,9,33,3,1
2,優格,7,7.0,0.05115462336705008,4,3,4,1,2
2,優酪乳,7,7.0,0.06777117552255084,4,4,5,1,1
2,台中,5,5.0,0.081589129865797,4,1,1,1,2
2,吃益生菌,9,4.5,0.02826122784015729,4,4,11,2,1
2,問題,5,5.0,0.010219281615914635,4,4,6,1,1
2,外科主任,4,4.0,0.12597725802562193,4,1,1,1,2
2,大腸,4,4.0,0.09634620973791212,4,1,1,1,2
2,好菌,12,12.0,0.07158663294648747,4,7,12,1,1
2,孕期,9,9.0,0.030024314998384538,4,1,1,1,2
2,寶寶,5,5.0,0.016871887511691653,4,2,3,1,2
2,建議,6,6.0,0.02469748767540551,4,7,13,1,1
2,抗生素,5,5.0,0.030174646155065217,4,4,5,1,1
2,效果,7,7.0,0.03537865213232685,4,7,10,1,1
2,敖立燕,4,4.0,0.09941965454275062,4,1,1,1,2
2,更多,13,13.0,0.013150609567163705,4,2,2,1,2
2,母乳,5,5.0,0.012612885176121129,4,2,2,1,2
2,活性,6,6.0,0.026048951097870345,4,3,3,1,2
2,環境,4,4.0,0.021029202376524274,4,8,13,1,1
2,產品,17,17.0,0.05433842896882718,4,10,24,1,1
2,益生菌,93,23.25,0.00790556866926774,4,10,48,4,1
2,直腸,4,4.0,0.12424483441842553,4,1,1,1,2
2,稱為,4,4.0,0.025166135946952453,4,1,1,1,2
2,繁殖,4,4.0,0.02745093436581318,4,2,2,1,2
2,繁體,4,4.0,0.023028908306780674,4,2,2,1,1
2,耐酸,4,4.0,0.04551486683502549,4,3,3,1,1
2,胃藥,5,5.0,0.19176860041177024,4,1,1,1,2
2,胃酸,5,5.0,0.03631575025544837,4,7,9,1,1
2,腸道,20,5.0,0.06860562034086337,4,9,35,4,1
2,菌種,5,5.0,0.04566433588137101,4,9,24,1,1
2,蔣鋒帆,9,9.0,0.6103629375836305,4,1,1,1,2
2,補充,4,4.0,0.013173552762040852,4,8,11,1,1
2,迷思,5,5.0,0.0354548769787665,4,2,2,1,2
2,達到,4,4.0,0.02400668642795899,4,2,2,1,2
2,重要性,5,5.0,0.02751737850104992,4,1,1,1,2
2,長期,4,4.0,0.0208504165924941,4,1,1,1,2
2,防護力,5,5.0,0.04475872989911006,4,2,2,1,1
2,食物,14,7.0,0.010722264495693842,4,9,18,2,1
2,食用,7,7.0,0.01639651503091215,4,10,15,1,1
2,飲食,7,7.0,0.0236595541341699,4,7,8,1,1
2,體溫,7,7.0,0.038268714822087706,4,1,1,1,2
3,Lactobacillus,5,5.0,0.031497370551255816,4,9,13,1,1
3,主要,8,8.0,0.012009702495032198,4,3,3,1,1
3,乳酸菌,11,11.0,0.07653497586212386,4,10,24,1,1
3,乾酪乳桿菌,5,5.0,0.03830132248614628,4,1,1,1,3
